product_title,product_price,product_reviews,no_of_reviews,images
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  boAt Rockerz 450 Pro Bluetooth On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Luscious Black) ","1,799",4.1 out of 5 stars,"19,094",https://m.media-amazon.com/images/I/61jlFEwSt+L._AC_UY218_.jpg
"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Noise Two Wireless On-Ear Headphones with 50 Hours Playtime, Low Latency(up to 40ms), 4 Play Modes, Dual Pairing, BT v5.3 (Calm White) ","1,699",3.5 out of 5 stars,"3,051",https://m.media-amazon.com/images/I/51lD6jgEytL._AC_UY218_.jpg
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige) ","1,499",4.0 out of 5 stars,"115,669",https://m.media-amazon.com/images/I/51Tf2zsMODL._AC_UY218_.jpg
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black) ",898,4.2 out of 5 stars,"98,198",https://m.media-amazon.com/images/I/71Yid63OspL._AC_UY218_.jpg
"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery-Black ","4,490",4.2 out of 5 stars,"17,751",https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY218_.jpg
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black) ","1,799",4.1 out of 5 stars,"19,094",https://m.media-amazon.com/images/I/618-45t0P5L._AC_UY218_.jpg
Logitech H111 Wired On Ear Headphones With Mic Black ,"3,999",4.0 out of 5 stars,"17,865",https://m.media-amazon.com/images/I/61HBpQuLjVL._AC_UY218_.jpg
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black) ","1,399",4.0 out of 5 stars,"115,669",https://m.media-amazon.com/images/I/61kFL7ywsZS._AC_UY218_.jpg
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue) (Green) ","22,599",4.2 out of 5 stars,606,https://m.media-amazon.com/images/I/61+0KSoFrOL._AC_UY218_.jpg
"Boult Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, Easy Controls, IPX5 Wireless Headphones (Black) ",678,3.8 out of 5 stars,"75,727",https://m.media-amazon.com/images/I/71zfpkr4bYL._AC_UY218_.jpg
